18-25,26-40,41-80
78,94,80
82,82,58
90,78,66
68,66,56
90,84,86
82,66,88
66,88,56
84,90,36
104,76,76
78,86,64
82,62,78
82,74,60
74,84,64
78,84,84
100,82,70
64,76,74
70,86,86
80,66,90
72,88,94
96,44,80
72,68,74
80,70,56
84,82,100
82,76,74
82,54,76
,98,74
,96,78
,74,68
,,62
,,62
,,74
,,104
,,54
,,74
,,84
,,60
,,52
,,84
,,66
,,56
,,66
,,64
,,64
,,78
,,62
,,64
,,72
,,82
,,58
,,62
,,80
,,58
,,76
,,70
,,58
,,64
,,70
,,58
,,72
,,80
,,72
,,66
,,98
,,74
,,80
,,82
,,56
,,56
,,68
,,72
,,94
,,72
,,56
,,80
,,56
,,56
,,72
,,62
,,72
,,60
,,68
,,86
,,72
,,80
,,64
,,80
,,62
,,74
,,72
,,96
,,64
,,62
,,76
,,94