PROF,COURSE EVAL,PROF EVAL,PROF GENDER,PROF AGE,SIZE,PROF BEAUTY,PROF PHOTO,CLASS LEVEL,Data:,,,,,,
1,4.3,4.7,female,36,24,5.000,color,upper,4.3,4.7,,,,,
2,4.5,4.6,male,59,17,3.000,color,upper,4.5,4.6,,,Step1:,OC:,There is a correlation between the profes eval and course eval 
3,3.7,4.1,male,51,55,3.333,color,upper,3.7,4.1,,,Step 2:,OOC: ,The is no correlation
4,4.3,4.5,female,40,40,3.167,color,upper,4.3,4.5,,,,,
5,4.4,4.8,female,31,42,7.333,color,upper,4.4,4.8,,,Step 3: ,H0:,rho = 0
6,4.2,4.4,male,62,182,5.500,color,upper,4.2,4.4,,,,H1: ,rho ≠ 0
7,4.0,4.4,female,33,33,4.167,color,upper,4.0,4.4,,,,,
8,3.4,3.4,female,51,25,4.000,color,upper,3.4,3.4,,,Step 4: ,alpha =,0.05
9,4.7,4.8,female,33,29,4.667,color,upper,4.7,4.8,,,,,
10,3.9,4.0,male,47,16,5.500,color,upper,3.9,4.0,,,Step 5: ,t =,27.24632446
11,3.1,3.6,male,35,18,4.833,color,upper,3.1,3.6,,,,,
12,4.0,4.1,male,37,30,4.333,color,upper,4.0,4.1,,,,r =,0.943824021
13,3.8,4.1,male,42,28,4.833,color,upper,3.8,4.1,,,,n =,93
14,3.4,3.5,male,49,30,4.000,color,upper,3.4,3.5,,,,,
15,2.9,2.9,female,37,23,5.500,color,upper,2.9,2.9,,,Step 6:,p-val = ,1.52831E-45
16,4.5,4.6,male,45,23,4.167,color,upper,4.5,4.6,,,,df = ,91
17,4.0,4.4,female,56,27,2.500,color,upper,4.0,4.4,,,,,
18,3.8,4.0,male,48,100,4.333,color,lower,3.8,4.0,,,Sep 7: ,is pval < alpha,
19,4.3,4.9,female,46,25,4.333,black&white,upper,4.3,4.9,,,,Yes!!!!!,RTN
20,3.4,3.5,female,57,17,4.333,color,upper,3.4,3.5,,,,,
21,3.4,3.7,female,52,19,4.833,color,upper,3.4,3.7,,,Step 8: ,There is evidence to reject with 95% the claim that there is no correlation. ,
22,3.3,3.4,female,29,19,2.833,color,upper,3.3,3.4,,,,There is evidence to support the claim that there is a correlation. ,
23,4.3,4.3,male,62,30,3.000,color,upper,4.3,4.3,,,,,
24,4.4,4.5,male,64,15,4.167,color,upper,4.4,4.5,,,,,
24,4.1,4.3,male,64,21,4.167,color,upper,4.1,4.3,,,,,
25,4.6,4.8,female,34,20,7.833,color,upper,4.6,4.8,,,,,
26,4.2,4.4,male,58,84,3.833,color,upper,4.2,4.4,,,,,
27,4.0,4.4,male,52,13,4.833,color,upper,4.0,4.4,,,,,
28,3.3,3.6,male,73,12,3.000,color,upper,3.3,3.6,,,,,
29,4.4,4.6,male,70,47,3.000,color,upper,4.4,4.6,,,,,
30,2.3,2.3,female,41,10,5.167,color,upper,2.3,2.3,,,,,
31,3.5,4.3,male,63,28,4.333,color,upper,3.5,4.3,,,,,
32,4.7,4.9,male,47,10,2.667,color,upper,4.7,4.9,,,,,
33,3.9,4.2,male,39,86,5.500,color,lower,3.9,4.2,,,,,
34,4.0,4.2,female,47,21,4.333,color,lower,4.0,4.2,,,,,
35,4.3,4.3,male,54,15,2.333,color,upper,4.3,4.3,,,,,
36,3.8,3.9,female,44,30,6.500,color,upper,3.8,3.9,,,,,
37,3.8,3.9,male,47,20,2.333,color,upper,3.8,3.9,,,,,
38,4.0,4.1,male,62,12,3.000,color,upper,4.0,4.1,,,,,
39,4.6,4.8,male,60,25,3.667,color,upper,4.6,4.8,,,,,
40,3.5,3.3,male,37,15,6.167,color,upper,3.5,3.3,,,,,
41,4.7,4.4,male,42,13,4.000,color,upper,4.7,4.4,,,,,
43,3.4,3.3,female,39,22,8.167,color,lower,3.4,3.3,,,,,
44,3.9,4.0,male,49,28,6.500,color,upper,3.9,4.0,,,,,
45,4.5,4.5,male,61,22,4.833,color,lower,4.5,4.5,,,,,
46,4.7,4.9,male,33,30,7.000,color,upper,4.7,4.9,,,,,
47,3.5,3.7,female,58,26,4.667,black&white,upper,3.5,3.7,,,,,
48,3.7,3.9,female,56,12,3.833,color,upper,3.7,3.9,,,,,
49,4.0,4.4,female,50,22,3.167,color,lower,4.0,4.4,,,,,
50,4.1,4.4,male,52,57,3.167,color,upper,4.1,4.4,,,,,
51,4.4,4.5,female,33,10,5.833,black&white,upper,4.4,4.5,,,,,
52,4.2,4.3,male,57,69,5.667,black&white,upper,4.2,4.3,,,,,
53,4.5,4.8,female,38,46,6.500,black&white,upper,4.5,4.8,,,,,
54,3.8,4.1,female,34,54,1.667,color,lower,3.8,4.1,,,,,
55,3.1,3.5,male,34,24,6.667,color,upper,3.1,3.5,,,,,
56,3.7,4.0,male,32,85,3.667,black&white,lower,3.7,4.0,,,,,
57,3.9,3.8,female,42,44,6.167,color,lower,3.9,3.8,,,,,
58,4.0,4.1,female,43,35,3.333,color,lower,4.0,4.1,,,,,
59,3.3,3.7,male,35,11,3.667,black&white,upper,3.3,3.7,,,,,
60,3.1,3.2,female,62,22,3.500,color,upper,3.1,3.2,,,,,
61,4.0,4.2,male,42,45,2.667,color,upper,4.0,4.2,,,,,
62,4.3,4.5,male,39,22,5.667,color,upper,4.3,4.5,,,,,
63,3.7,3.8,female,52,64,6.000,black&white,upper,3.7,3.8,,,,,
64,3.4,3.7,female,52,31,6.500,black&white,upper,3.4,3.7,,,,,
65,4.3,4.5,female,52,59,2.333,color,upper,4.3,4.5,,,,,
66,3.7,3.8,male,64,9,2.333,color,upper,3.7,3.8,,,,,
67,4.2,4.5,male,50,15,7.167,color,upper,4.2,4.5,,,,,
68,2.2,2.4,male,60,23,1.667,color,upper,2.2,2.4,,,,,
69,3.0,3.0,female,51,47,5.167,color,upper,3.0,3.0,,,,,
70,4.3,4.5,male,43,19,3.500,color,lower,4.3,4.5,,,,,
72,3.5,3.5,male,52,46,5.833,color,upper,3.5,3.5,,,,,
73,4.6,4.8,male,51,348,6.167,color,lower,4.6,4.8,,,,,
74,3.7,4.2,male,38,44,3.333,color,lower,3.7,4.2,,,,,
75,3.8,4.0,female,47,19,5.167,color,lower,3.8,4.0,,,,,
76,3.6,3.7,female,43,47,4.167,color,lower,3.6,3.7,,,,,
77,4.4,4.5,female,38,33,2.500,color,lower,4.4,4.5,,,,,
78,4.1,4.7,male,43,10,4.333,color,lower,4.1,4.7,,,,,
79,4.3,4.3,male,57,7,3.000,color,upper,4.3,4.3,,,,,
80,4.0,4.0,female,51,9,6.333,color,upper,4.0,4.0,,,,,
81,4.8,4.9,male,45,13,3.333,color,lower,4.8,4.9,,,,,
82,3.5,3.5,male,57,13,2.833,black&white,lower,3.5,3.5,,,,,
83,3.6,3.3,female,47,16,6.667,black&white,lower,3.6,3.3,,,,,
84,3.8,4.2,female,54,18,6.833,black&white,lower,3.8,4.2,,,,,
85,4.7,4.8,male,58,16,7.833,black&white,lower,4.7,4.8,,,,,
86,4.9,4.9,male,42,15,7.833,black&white,lower,4.9,4.9,,,,,
87,4.3,4.5,male,33,85,5.833,color,lower,4.3,4.5,,,,,
88,3.3,3.3,male,62,11,2.000,color,lower,3.3,3.3,,,,,
89,3.4,3.3,female,35,60,7.833,color,lower,3.4,3.3,,,,,
90,3.6,3.6,male,61,27,3.333,color,lower,3.6,3.6,,,,,
91,4.0,4.1,female,52,61,4.500,color,lower,4.0,4.1,,,,,
92,3.9,3.7,female,60,23,4.333,black&white,upper,3.9,3.7,,,,,
93,4.3,4.5,male,32,98,6.833,color,lower,4.3,4.5,,,,,
94,3.3,3.5,female,42,48,5.333,color,upper,3.3,3.5,,,,,