PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Bam Adebayo,MIA,26,81,255,Kentucky,USA,2017,1,14,36,21,10.5,4.2,-3.2,6.5,24,26.4,56.7,21.1
Russell Westbrook,LAC,35,76,200,UCLA,USA,2008,1,4,44,11.3,5.8,4.7,2.8,6.8,17.6,23.3,52.3,29.1
Donte DiVincenzo,NYK,26,76,203,Villanova,USA,2018,1,17,46,11.4,3.1,2.2,2.3,3.4,10.7,18.9,62.2,13.9
D'Moi Hodge,LAL,25,75,188,Missouri,British Virgin Islands,Undrafted,Undrafted,Undrafted,7,2,0,0.7,-44.2,0,0,17.2,44.1,22.7
Buddy Hield,IND,31,76,220,Oklahoma,Bahamas,2016,1,6,47,12.3,3.2,2.7,3.5,2.6,10.3,18.4,58.7,12.5
Kelly Oubre Jr.,PHI,28,79,203,Kansas,USA,2015,1,15,32,12.8,4.2,1.1,4.2,3.3,11.5,18.4,57.1,5.5
Jeff Green,HOU,37,80,235,Georgetown,USA,2007,1,5,43,6.3,2.1,0.7,-3.2,3.7,8.3,14.3,62.5,6.3
Walker Kessler,UTA,22,85,245,Auburn,USA,2022,1,22,39,8.4,7.4,0.8,0.5,10.3,18.9,13,65,4.7
Udoka Azubuike,PHX,24,83,270,Kansas,Nigeria,2020,1,27,12,2.9,2.6,0.3,-12.6,11,18.3,12.7,65.2,4
Jacob Toppin,NYK,23,80,200,Kentucky,USA,Undrafted,Undrafted,Undrafted,3,0,0,0.3,-2.8,0,0,0,0,50
Derrick Jones Jr.,DAL,26,78,210,UNLV,USA,Undrafted,Undrafted,Undrafted,43,10.1,3.6,1,-3.4,4.5,9,15.1,60,5.3
Max Christie,LAL,20,77,190,Michigan State,USA,2022,2,35,37,4.8,2.6,1,-1.9,1.5,12.8,13.4,51.7,7.9
Naz Reid,MIN,24,81,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,46,12.4,4.5,1,5.8,4.3,15,21.4,61.3,7.3
Zach LaVine,CHI,28,77,200,UCLA,USA,2014,1,13,25,19.5,5.2,3.9,-5.4,0.9,13.4,23.8,57.8,17.2
Andre Drummond,CHI,30,83,279,Connecticut,USA,2012,1,9,47,7.8,8.3,0.6,-1.6,19.5,32.9,20.7,56.7,5.5
Charles Bassey,SAS,23,82,230,Western Kentucky,Nigeria,2021,2,53,19,3.3,4,1.1,-11.6,10.2,26.5,11,73.9,13.6
Jordan Nwora,TOR,25,80,225,Louisville,USA,2020,2,45,21,5.8,2,1.2,-2.9,4.9,14.2,21.5,54.8,15.1
Dalen Terry,CHI,21,79,195,Arizona,USA,2022,1,18,31,2.3,1.5,1.2,3.5,3.3,12.8,12.3,48.2,15.4
Austin Reaves,LAL,25,77,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,47,15.1,4.1,5.2,-3.7,2.6,10.5,19.6,61.3,24.3
Jermaine Samuels Jr.,HOU,25,78,230,Villanova,USA,Undrafted,Undrafted,Undrafted,7,1.7,1.4,0.3,-21.5,4.7,20,8.4,67.6,5.7
Jabari Smith Jr.,HOU,20,83,220,Auburn,USA,2022,1,3,40,13.7,8.7,1.5,-0.7,6,20.2,17.5,58.7,6.6
Nicolas Batum,PHI,35,80,230,None,France,2008,1,25,33,5.8,3.8,2.3,10.4,4.9,10.2,8.1,69.8,11.3
Lamar Stevens,BOS,26,79,230,Penn State,USA,Undrafted,Undrafted,Undrafted,18,2.7,1.6,0.4,-1.2,8.5,13.8,19.2,52.4,11.4
Keon Johnson,BKN,21,77,185,Tennessee,USA,2021,1,21,1,12,1,1,-32.1,0,5.9,19.3,61.5,5.9
Peyton Watson,DEN,21,79,200,UCLA,USA,2022,1,30,45,6.8,2.7,1,-1.5,3,11.1,16.3,55.5,8.2
Svi Mykhailiuk,BOS,26,79,205,Kansas,Ukraine,2018,2,47,21,2.6,0.9,0.3,2.4,3,7.1,17.1,45.3,6.3
Jaime Jaquez Jr.,MIA,22,78,225,UCLA,USA,2023,1,18,40,13.8,3.8,2.7,-0.6,4.1,8.7,18.8,60,13.8
James Harden,LAC,34,77,220,Arizona State,USA,2009,1,3,39,17.2,4.7,8.6,10.7,1.1,12.5,20.2,63.8,33.5
Bilal Coulibaly,WAS,19,80,195,None,France,2023,1,7,44,8.1,4.1,1.8,-9,2.8,12.4,13.6,55.9,9
Colin Castleton,LAL,23,82,250,Florida,USA,Undrafted,Undrafted,Undrafted,5,3.2,1.8,0.6,-15.5,13.8,17.2,16.2,74.3,16.7
Nick Smith Jr.,CHA,19,74,185,Arkansas,USA,2023,1,27,29,6.4,1.6,1.2,-19.4,3,7.6,19.6,54.8,13.2
Onyeka Okongwu,ATL,23,82,240,Southern California,USA,2020,1,6,45,9.2,6.7,1.4,-1.2,9.8,17.4,13,65.2,7.7
Wesley Matthews,ATL,37,77,220,Marquette,USA,Undrafted,Undrafted,Undrafted,19,2.1,1.4,0.6,-5.4,1.7,9.9,10.4,42.2,7.5
Pete Nance,CLE,23,82,225,North Carolina,USA,Undrafted,Undrafted,Undrafted,2,0,0,0,44.6,0,0,25,0,0
Day'Ron Sharpe,BKN,22,81,265,North Carolina,USA,2021,1,29,37,7.5,7,1.4,7.7,16.5,24.1,18.2,59.8,12.6
Nikola Vucevic,CHI,33,82,260,Southern California,Montenegro,2011,1,16,42,16.9,10.5,3.5,-1.8,7.7,23.3,22.8,52.8,16.2
De'Aaron Fox,SAC,26,75,185,Kentucky,USA,2017,1,5,38,27.7,4,5.6,3.4,2.3,8.9,30.4,57.9,23.9
Jose Alvarado,NOP,25,73,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,29,6.8,2.1,1.8,10.6,2.4,9.6,18.4,53.7,16.4
Nickeil Alexander-Walker,MIN,25,77,205,Virginia Tech,Canada,2019,1,17,46,6.7,1.8,2.6,3,1.9,6,12.8,57.1,15.8
Myles Turner,IND,27,83,250,Texas,USA,2015,1,11,45,17.2,7,1.3,4.9,6.3,19.4,22.8,62.8,6.2
Patrick Baldwin Jr.,WAS,21,81,220,Wisconsin-Milwaukee,USA,2022,1,28,15,2.9,1.9,0.4,14.3,4.4,19.4,15.3,62.1,7.7
Seth Lundy,ATL,23,76,220,Penn State,USA,2023,2,46,9,1.6,0.8,0,-11.7,2.2,11.8,16.8,37.3,0
Josh Minott,MIN,21,80,205,Memphis,USA,2022,2,45,15,1.7,0.2,0.2,-5.8,2,4.1,19.2,55.8,10.3
Mouhamed Gueye,ATL,21,82,210,Washington State,Senegal,2023,2,39,2,0,0,0,-117.3,0,0,8.3,0,0
Grant Williams,DAL,25,78,236,Tennessee,USA,2019,1,22,42,8.5,3.6,1.8,-4.6,3.5,9.9,13.4,56.8,9.1
Anthony Black,ORL,20,79,200,Arkansas,USA,2023,1,6,43,5,2.3,1.7,-1.9,2.9,9.2,11.5,56.5,12.1
Michael Porter Jr.,DEN,25,82,218,Missouri,USA,2018,1,14,47,16,7,1.4,8.9,4.2,18.4,19.5,59.8,5.8
Jalen Green,HOU,21,76,186,None,USA,2021,1,2,45,17.8,4.7,3.2,-1.9,1.2,13.6,26.5,52.9,15.8
Andrew Wiggins,GSW,28,79,197,Kansas,Canada,2014,1,1,39,12.3,4.2,1.6,-7.8,6.1,9,20.7,51,8.4
Tyler Herro,MIA,24,77,195,Kentucky,USA,2019,1,13,27,21.6,5.3,4.1,-3.9,1.6,14,27.5,55.2,20.2
Tyrese Maxey,PHI,23,74,200,Kentucky,USA,2020,1,21,42,25.7,3.6,6.6,10.4,1.5,7.9,26.2,57.8,26
Chris Boucher,TOR,31,81,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,43,6.2,4.1,0.4,3.1,8.2,19.8,16.5,58.9,3.9
Chris Paul,GSW,38,73,175,Wake Forest,USA,2005,1,4,32,8.9,3.8,7.2,4,1.1,11.8,14,54.3,34.4
Spencer Dinwiddie,BKN,30,77,215,Colorado,USA,2014,2,38,43,13.1,3.4,6,-0.8,1.7,9,18.9,53.7,27.3
Jaylin Williams,OKC,21,81,240,Arkansas,USA,2022,2,34,38,3.5,3.1,1.3,7.8,4.1,22.4,13.4,53.2,14
Luguentz Dort,OKC,24,76,220,Arizona State,Canada,Undrafted,Undrafted,Undrafted,44,10.8,3.8,1.3,7.8,4.5,8.5,14.8,60.1,5.5
Malaki Branham,SAS,20,76,180,Ohio State,USA,2022,1,20,42,8.4,2,2.3,-15.1,1.3,8,18.2,51.3,15.2
Dereon Seabron,NOP,23,77,180,North Carolina State,USA,Undrafted,Undrafted,Undrafted,5,2.8,1.4,0.8,26.6,2.2,8.6,12.8,44.8,9.8
Ochai Agbaji,UTA,23,77,215,Kansas,USA,2022,1,14,47,5.6,2.6,0.9,-5.2,3.6,8.3,12.1,53.5,6.1
Otto Porter Jr.,TOR,30,80,230,Georgetown,USA,2013,1,3,15,2.6,1.9,0.5,4.7,3.2,13,8.3,56.8,5.8
Jrue Holiday,BOS,33,76,205,UCLA,USA,2009,1,17,42,13.1,6.1,4.6,8.7,4.1,12.7,17.2,57.1,18.7
Jordan Miller,LAC,24,77,194,Miami,USA,2023,2,48,4,1.8,0.8,0,-60.1,11.1,5.3,14.6,70,0
Javonte Smart,PHI,24,76,205,Louisiana State,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-150,0,0,0,0,0
Brandon Boston Jr.,LAC,22,78,188,Kentucky,USA,2021,2,51,10,4.1,1.1,0.4,-39.4,7.6,7.6,25.1,50.4,9.5
Jeremiah Robinson-Earl,NOP,23,80,240,Villanova,USA,2021,2,32,19,4.1,2.5,0.5,-4.8,6.9,15.6,14.3,63.1,6.6
Jae Crowder,MIL,33,78,235,Marquette,USA,2012,2,34,15,7.1,3.3,1.2,-8.1,1.6,12.8,11.2,62.1,7.1
Scottie Barnes,TOR,22,79,237,Florida State,USA,2021,1,4,46,20.3,8.3,5.7,-3.9,6.2,17,24,57.5,24.1
Adama Sanogo,CHI,21,81,245,Connecticut,Mali,Undrafted,Undrafted,Undrafted,3,2.7,2,0,70.1,15.4,33.3,17.9,92.6,0
Drew Peterson,BOS,24,81,205,Southern California,USA,Undrafted,Undrafted,Undrafted,1,3,0,1,60,0,0,20,150,50
Kyle Kuzma,WAS,28,81,221,Utah,USA,2017,1,27,45,22,6.5,4.4,-12.2,3.1,16.6,30.2,54.4,21.3
Kira Lewis Jr.,TOR,22,73,170,Alabama,USA,2020,1,13,16,2.8,0.9,1.1,-5.7,2.4,5.7,18.2,38.7,20.5
Aaron Wiggins,OKC,25,77,190,Maryland,USA,2021,2,55,43,5.6,2.2,0.8,5.4,5,11.1,15.2,69.2,8.9
Cory Joseph,GSW,32,74,200,Texas,Canada,2011,1,29,24,2.2,1.2,1.6,-1.8,1.7,8.4,10.2,44.9,17.1
Naji Marshall,NOP,26,78,220,Xavier,USA,Undrafted,Undrafted,Undrafted,37,7.5,3.4,1.9,7.5,5.7,12.4,17.6,56.7,14.1
Moritz Wagner,ORL,26,83,245,Michigan,Germany,2018,1,25,44,11.5,4.7,1.3,1.2,8.5,16.3,21.4,66,10.9
Devin Booker,PHX,27,78,206,Kentucky,USA,2015,1,13,37,28.6,4.9,7.3,6.7,2.1,10.9,30.2,62.3,31.8
Malik Monk,SAC,25,75,200,Kentucky,USA,2017,1,11,43,14.7,2.6,5.5,0.6,1.4,8.9,23.4,57.9,30.6
Jonathan Isaac,ORL,26,82,230,Florida State,USA,2017,1,6,28,6.4,3.9,0.4,13.1,7.6,18.3,17.4,57.3,4.4
Andre Jackson Jr.,MIL,22,78,209,Connecticut,USA,2023,2,36,39,2.8,2.2,0.9,-3.8,8.2,11.4,9.4,65.9,10.2
Trayce Jackson-Davis,GSW,23,81,245,Indiana,USA,2023,2,57,32,6.8,4.3,1,3.3,11.1,17,16.3,68,9.7
Ivica Zubac,LAC,26,85,240,None,Croatia,2016,2,32,38,12.4,9.7,1.3,9,12.9,23.2,16.7,66.5,6.6
Al Horford,BOS,37,81,240,Florida,Dominican Republic,2007,1,3,38,7.7,6.7,2.9,9.2,4.9,18.5,11,62.9,14
Jarrett Allen,CLE,25,81,243,Texas,USA,2017,1,22,38,15.2,10.4,3,6,11.9,21.7,18,67.9,14.1
Bojan Bogdanovic,DET,34,79,226,None,Croatia,2011,2,31,25,20.4,3.4,2.6,-11.8,1.6,9.1,24.1,59.5,11.6
Evan Fournier,NYK,31,78,205,None,France,2012,1,20,3,4,1.3,1,-15,0,13.8,23.2,28.7,11.5
Omer Yurtseven,UTA,25,83,275,Georgetown,Turkey,Undrafted,Undrafted,Undrafted,25,3.4,4.1,0.5,-12.5,12.2,25.9,16.1,52.9,7.8
Kris Dunn,UTA,29,75,205,Providence,USA,2016,1,5,39,5.2,2.9,4.3,7.2,3.9,11.7,13.4,55.5,28.4
Nate Williams,HOU,24,77,205,Buffalo,USA,Undrafted,Undrafted,Undrafted,7,3.6,0.9,0.4,9.2,8.1,1.6,18.4,49.6,7.1
Shaquille Harrison,MEM,30,76,195,Tulsa,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0,-75.3,0,40,15.4,50,0
Brandon Williams,DAL,24,73,190,Arizona,USA,Undrafted,Undrafted,Undrafted,6,3,0.8,1,-15.8,4.5,8.6,19.8,57.5,30
Saddiq Bey,ATL,24,79,215,Villanova,USA,2020,1,19,46,13.1,6.6,1.5,-0.9,7.3,12.4,15.7,54.2,5.8
Andrew Nembhard,IND,24,76,191,Gonzaga,Canada,2022,2,31,33,9.2,1.7,4.7,0.4,2.8,5.2,19.5,55.7,27.8
Dominick Barlow,SAS,20,81,215,None,USA,Undrafted,Undrafted,Undrafted,20,4.4,3.4,1.1,-9.5,8.1,16.9,13.8,52.1,10.9
Moses Brown,POR,24,86,258,UCLA,USA,Undrafted,Undrafted,Undrafted,9,2,5.1,0.2,-17.5,18.4,35.4,13,39.5,4
TyTy Washington Jr.,MIL,22,75,195,Kentucky,USA,2022,1,29,2,1.5,0.5,0,17,0,20,35.7,50,0
Tim Hardaway Jr.,DAL,31,77,205,Michigan,USA,2013,1,24,43,18,3.7,1.7,-1,1.1,10.9,23.2,56.6,8.3
Toumani Camara,POR,23,79,226,Dayton,Belgium,2023,2,52,45,6.7,4.8,0.9,-7.4,6.9,12.7,13.4,50.1,5.6
Nick Richards,CHA,26,85,245,Kentucky,Jamaica,2020,2,42,35,9.7,7.8,0.8,-14.1,10.3,21.7,13.4,71.7,5
Ish Wainright,POR,29,77,250,Baylor,USA,Undrafted,Undrafted,Undrafted,7,2.9,1.3,0,-0.7,0,17.6,17.1,53,0
Rayan Rupert,POR,19,78,185,None,France,2023,2,43,15,2.8,1.3,0.7,-9.7,4.4,12.5,18.2,47.2,15.7
Cody Zeller,NOP,31,83,240,Indiana,USA,2013,1,4,33,1.9,2.7,1,8.1,12.1,17.9,11.3,46.7,14.8
Desmond Bane,MEM,25,77,215,TCU,USA,2020,1,30,37,24.4,4.6,5.3,-6.2,2.5,10.4,27.6,59.7,26.5
Shai Gilgeous-Alexander,OKC,25,78,195,Kentucky,Canada,2018,1,11,45,31.1,5.6,6.4,11.2,2.7,12.6,31.7,64.8,29.4
Admiral Schofield,ORL,26,77,241,Tennessee,United Kingdom,2019,2,42,12,1,0.6,0.3,11.7,2,11.1,18.5,37.8,14.8
Jordan Ford,SAC,25,73,175,St. Mary's College,USA,Undrafted,Undrafted,Undrafted,6,2,0.3,0.3,28.9,0,10,18.4,76.1,11.8
Maxwell Lewis,LAL,21,79,195,Pepperdine,USA,2023,2,40,15,0.3,0.2,0.2,-26,1.6,3,9.9,25,9.1
Draymond Green,GSW,33,78,230,Michigan State,USA,2012,2,35,19,9.3,5.9,6.1,0.9,4.5,17.4,15.4,61.6,30.6
Xavier Moon,LAC,29,73,165,Morehead State,USA,Undrafted,Undrafted,Undrafted,2,1,1,1.5,-60.6,0,18.2,11.1,50,42.9
Ish Smith,CHA,35,73,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,37,3.3,1.8,3.3,-15.5,1.7,9.6,12.1,45.6,27.2
Taurean Prince,LAL,29,78,218,Baylor,USA,2016,1,12,44,9.7,2.9,1.8,-4.2,0.8,8.3,13,57.1,7.5
Frank Ntilikina,CHA,25,76,200,None,France,2017,1,8,3,1.7,0.3,0.3,2.2,0,3.8,12.5,51.2,5.6
Pascal Siakam,IND,29,80,245,New Mexico State,Cameroon,2016,1,27,45,22.1,6.5,5,1.9,4.2,14.8,24.7,60.2,21.4
Jalen Suggs,ORL,22,77,205,Gonzaga,USA,2021,1,5,42,12.5,3.3,2.4,-3.9,2.6,10.3,20.2,57.9,13.4
Anthony Edwards,MIN,22,76,225,Georgia,USA,2020,1,1,43,25.9,5.2,5.3,8.6,2,12.5,31.5,58.3,24.3
Danny Green,PHI,36,78,215,North Carolina,USA,2009,2,46,2,0,1,0.5,-5.9,0,11.1,4.3,0,5.6
Domantas Sabonis,SAC,27,82,240,Gonzaga,Lithuania,2016,1,11,44,19.9,12.7,8,-0.2,8.7,27.9,22.1,65.3,33.3
Marques Bolden,MIL,25,82,249,Duke,USA,2019,,,2,0,1,0,91.1,0,33.3,0,0,0
Khris Middleton,MIL,32,79,222,Texas A&M,USA,2012,2,39,39,14.9,4.3,5,6.3,2.5,12.7,23.4,58.7,26.2
Josh Giddey,OKC,21,80,216,None,Australia,2021,1,6,45,11.6,6.3,4.6,7.6,6,18.1,22.1,52.2,24.2
Evan Mobley,CLE,22,83,215,Southern California,USA,2021,1,3,21,16,10.5,2.9,2.2,8,20.8,19.4,60.5,12.9
Joe Harris,DET,32,78,220,Virginia,USA,2014,2,33,15,2.5,0.9,0.7,-14.2,1.8,6.1,10.4,50.2,8.7
Bennedict Mathurin,IND,21,77,210,Arizona,Canada,2022,1,6,47,14.3,3.9,1.9,-3.5,4,11,22.4,56.6,10.4
Leaky Black,CHA,24,78,209,North Carolina,USA,Undrafted,Undrafted,Undrafted,15,1.8,1.1,0.3,-5.9,5.8,12,12.8,57.7,8.2
Kevin Love,MIA,35,80,251,UCLA,USA,2008,1,5,35,9.3,6.3,2.4,4.8,6,28.8,20.1,59.8,19.2
Micah Potter,UTA,25,81,248,Wisconsin,USA,Undrafted,Undrafted,Undrafted,2,0,2,0,-106.2,0,66.7,6.3,0,0
Olivier-Maxence Prosper,DAL,21,79,230,Marquette,Canada,2023,1,24,24,3,2.2,0.8,-7,5.7,16,14.3,47.4,11.7
Daniel Gafford,WAS,25,82,234,Arkansas,USA,2019,2,38,40,10.7,7.7,1.6,-7.3,9.8,17.5,13.6,71.5,7.5
Jaden Hardy,DAL,21,75,198,None,USA,2022,2,37,41,7.6,2.1,1.7,-5.3,2,11.4,22.4,48.3,16.5
Olivier Sarr,OKC,24,82,240,Kentucky,France,Undrafted,Undrafted,Undrafted,10,2,2.7,0.2,7.3,10.4,24.4,10.5,64.4,3.6
Wendell Moore Jr.,MIN,22,77,215,Duke,USA,2022,1,26,11,0.5,0.3,0.1,-34.7,0,9.4,8.6,60,4.8
Bradley Beal,PHX,30,76,207,Florida,USA,2012,1,3,22,17.4,4.3,4.2,1.7,2.7,10.4,23,57.5,18.5
Brook Lopez,MIL,35,85,282,Stanford,USA,2008,1,10,46,13,5.6,1.6,4.8,5.1,11.3,15.3,59.9,6.6
Bogdan Bogdanovic,ATL,31,77,225,None,Serbia,2014,1,27,44,17.1,3.1,2.6,1.1,1.7,9.5,22.7,57.1,13.2
James Bouknight,CHA,23,76,190,Connecticut,USA,2021,1,11,11,4.1,0.8,0.5,-12.6,1.5,13.1,24.1,61,14.6
Jonas Valanciunas,NOP,31,83,265,None,Lithuania,2011,1,5,46,13.9,9.6,2.3,4.2,10.4,26.6,20.2,63.9,12.5
Jaren Jackson Jr.,MEM,24,82,242,Michigan State,USA,2018,1,4,44,21.9,5.7,2,-4.4,3.8,13.7,28.7,56.4,11
Tari Eason,HOU,22,80,215,Louisiana State,USA,2022,1,17,22,9.8,7,1.2,9.4,8.8,20.3,18.8,52.8,8.7
Payton Pritchard,BOS,26,73,195,Oregon,USA,2020,1,26,46,8,3.3,3,11.4,4.3,10.2,15.1,56.8,19
Julian Champagnie,SAS,22,79,217,St. John's,USA,Undrafted,Undrafted,Undrafted,39,6.1,2.3,1,-9.1,2.5,11.9,15.2,59.1,8.7
Collin Sexton,UTA,25,75,190,Alabama,USA,2018,1,8,47,17.5,2.7,4.3,0.7,3.6,7,26.5,61.3,27
Immanuel Quickley,TOR,24,74,190,Kentucky,USA,2020,1,25,42,15.5,3.1,3.5,2.5,0.8,10.9,23.1,58.4,19.8
Collin Gillespie,DEN,24,73,195,Villanova,USA,Undrafted,Undrafted,Undrafted,14,2.1,0.4,0.6,-4.3,1.1,4.7,13.8,57.3,11.8
Jalen Duren,DET,20,82,250,Memphis,USA,2022,1,13,31,14.1,11.9,2.6,-7.7,10.5,27.5,17.2,65.7,12.6
Jalen Brunson,NYK,27,74,190,Villanova,USA,2018,2,33,44,26.6,3.9,6.5,7.1,1.6,9.2,28.1,60,28.7
Marvin Bagley III,WAS,24,82,235,Duke,USA,2018,1,2,32,11.4,5.4,1.1,-7.3,11.8,16,21.5,63.1,8.5
Max Strus,CLE,27,77,215,DePaul,USA,Undrafted,Undrafted,Undrafted,43,12.8,4.9,3.8,7.7,2.3,11.9,17.2,53.4,15.2
Terry Taylor,CHI,24,76,230,Austin Peay,USA,Undrafted,Undrafted,Undrafted,16,1.7,1.3,0.3,8.2,10.9,6.7,11.2,60.2,4.9
Jerami Grant,POR,29,79,210,Syracuse,USA,2014,2,39,41,21.2,3.7,2.5,-10.7,1.8,9.3,25.4,57.7,13
Ricky Council IV,PHI,22,78,207,Arkansas,USA,Undrafted,Undrafted,Undrafted,5,2.4,0.2,0,-19.6,3.6,0,19.3,52.1,0
Paul Reed,PHI,24,81,210,DePaul,USA,2020,2,58,44,6.2,4.9,1.1,7.7,11.7,19.8,15.5,59.9,9.7
Keyonte George,UTA,20,76,185,Baylor,USA,2023,1,16,41,10.7,2.7,4.3,-7.1,1.3,9.7,20.9,51.8,25.7
Colby Jones,SAC,21,78,207,Xavier,USA,2023,2,34,15,2.3,1.4,0.6,-0.5,7.1,11.1,17.4,40.4,12
Moses Moody,GSW,21,77,211,Arkansas,USA,2021,1,14,34,8.7,3.1,0.8,-0.4,5.6,10.6,17.8,60.1,6.9
John Collins,UTA,26,81,226,Wake Forest,USA,2017,1,19,43,14.1,7.9,1,-6.7,7.3,21,19.5,60,5.3
Jerome Robinson,GSW,26,77,190,Boston College,USA,2018,1,13,7,0.6,0.4,0.3,5.1,3,7.4,17.1,17.2,9.1
Stephen Curry,GSW,35,74,185,Davidson,USA,2009,1,7,40,27.3,4.2,5,-2.6,1.3,11,30.2,62.3,23.4
Paolo Banchero,ORL,21,82,250,Duke,USA,2022,1,1,46,22.7,6.9,4.9,-2,3.2,17.3,29.5,53.7,23.4
Ty Jerome,CLE,26,77,195,Virginia,USA,2019,1,24,2,2,0.5,1.5,-37.1,6.7,0,14.7,50,27.3
A.J. Lawson,DAL,23,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,21,4.2,1.2,0.6,8.3,3.9,7.8,16.9,57.3,8
Taze Moore,POR,25,77,195,Houston,USA,Undrafted,Undrafted,Undrafted,2,2,0,0,-22.5,0,0,25,50,0
Sidy Cissoko,SAS,19,78,200,None,France,2023,2,44,5,1.2,1.2,0,19.1,0,17.1,10.5,38.7,0
Isaiah Stewart,DET,22,80,250,Washington,USA,2020,1,16,35,11,6.8,1.7,-4.3,5.9,16.1,15.2,57.9,7.5
Gary Trent Jr.,TOR,25,77,204,Duke,USA,2018,2,37,41,11.7,2.1,1.6,-3,0.9,7,18.1,55.1,8.2
Jake LaRavia,MEM,22,79,235,Wake Forest,USA,2022,1,19,11,3.6,1.5,0.5,-13.5,5,7.2,16,44.7,8.5
Garrison Mathews,ATL,27,78,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,32,3.7,1.2,0.5,-6.8,1.9,7.8,10.5,66.3,5.1
Kaiser Gates,NOP,27,79,225,Xavier,USA,2018,,,1,0,1,0,-7,0,9.1,22.2,0,0
Matt Ryan,NOP,26,78,215,Tennessee-Chattanooga,USA,Undrafted,Undrafted,Undrafted,13,9.3,2.3,1.1,4.8,1.6,7.5,14.3,67.9,6.2
Deni Avdija,WAS,23,81,210,None,Israel,2020,1,9,45,12.4,6.1,3.9,-7.2,3.5,17.8,18.2,59.4,19.1
Cam Whitmore,HOU,19,79,230,Villanova,USA,2023,1,20,22,10.5,3.8,0.4,-2.2,3.7,18.7,23.6,58.3,3.9
Tyus Jones,WAS,27,73,196,Duke,USA,2015,1,24,45,12.4,2.9,6.2,-11.8,1,8.7,16.5,58.6,28.9
Duop Reath,POR,27,81,245,Louisiana State,South Sudan,Undrafted,Undrafted,Undrafted,34,9.2,4,1.2,-0.8,7.2,15.6,20,58.6,10.6
Markieff Morris,DAL,34,81,245,Kansas,USA,2011,1,13,16,2.6,1.8,0.7,-17.3,2.4,15.1,15.8,43.1,10.9
Damian Lillard,MIL,33,74,195,Weber State,USA,2012,1,6,43,25.3,4.3,6.8,6.8,1.5,9.8,27.2,59.9,26.8
Donovan Mitchell,CLE,27,75,215,Louisville,USA,2017,1,13,34,27.7,5.5,6.1,9.1,2.8,11.9,31.3,58.4,27.7
Emoni Bates,CLE,20,80,170,Eastern Michigan,USA,2023,2,49,10,1.8,1,0.6,-35.1,1.3,11.8,15.3,34.8,12.2
Dennis Smith Jr.,BKN,26,75,205,North Carolina State,USA,2017,1,9,30,7.1,3.3,4,-0.5,4.7,11.4,17.9,49.8,28.6
Patrick Beverley,PHI,35,74,180,Arkansas,USA,2009,2,42,41,5.6,3.1,2.8,4.6,3.1,11.8,13.6,53.4,20.9
