brand,OSAT,Food looks appetizing,Has food that tastes good,Has food I crave,Provides the right proportions of ingredients,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Is making changes to improve their food,"Has a unique, distinctive approach that makes food better",Has a wide range of ingredients,Portions are the right size for my appetite,Has good environmental/sustainability practices,Is worth the price,Is something I can afford to eat regularly,Is competitively priced,Is a good value for the money,Has enticing promotional offers,Has a good loyalty program,Employees show care for my food/order,Provides fast service,Ordering is simple and easy,Employees are friendly and engaging,Level of visibility of my food being made,I‚Äôm able to make my order exactly how I would like it,Provides a consistent experience,Integrates technology into its ordering process,Food is easy to eat on-the-go,I can easily order for delivery to a location convenient to me,Food prep area is clean and organized,Restaurant is clean,Environment is warm and inviting,Decor is current and modern,Restaurant environment is designed for someone like me,Restaurant has curb appeal,Ingredients are fresh,Ingredients are high quality,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,They make me feel valued,Place I am happy to be seen
Subway,4,6,6,5,6,6,6,5,5,6,6,6,6,6,6,5,4,4,6,6,6,5,6,6,6,5,6,1,6,6,5,6,6,5,6,6,6,6,6,5,5
Subway,7,7,7,7,7,6,7,7,7,5,6,7,7,7,7,5,7,7,6,6,7,7,7,7,7,6,6,7,6,6,7,7,6,6,7,7,6,6,7,7,6
Subway,5,4,4,3,5,4,7,5,5,5,4,4,4,1,3,4,4,,4,4,4,6,7,7,3,4,5,,6,6,4,4,4,4,6,4,3,5,5,4,3
Subway,4,5,4,3,4,6,6,5,3,6,6,,4,5,5,5,4,,3,5,5,5,7,7,5,,6,,7,5,3,3,5,,5,5,4,6,6,2,5
Subway,7,6,7,7,6,7,7,7,6,7,6,7,7,7,6,7,7,6,7,6,7,7,6,6,7,6,7,7,6,7,6,7,7,6,6,6,7,7,7,6,6
Subway,4,7,6,3,5,6,6,5,7,6,7,,7,5,6,3,4,7,4,7,7,5,4,5,4,7,4,5,4,4,5,3,5,5,6,5,6,5,3,5,5
Subway,5,4,5,5,4,5,5,5,5,6,5,4,4,4,4,4,5,4,4,4,4,4,5,4,4,5,4,5,5,4,5,5,4,5,4,6,5,5,5,4,5
Subway,5,4,4,6,5,5,5,5,6,5,6,4,4,5,6,5,5,4,5,6,4,4,6,5,4,5,5,5,5,4,5,5,4,5,4,6,5,4,5,6,5
Subway,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
Subway,4,5,5,4,5,3,6,5,4,5,4,4,4,4,5,5,4,4,5,5,5,4,6,5,5,5,6,3,5,5,5,4,4,4,5,5,5,5,5,4,4
Subway,5,6,6,6,7,6,6,6,7,6,5,7,7,6,5,7,6,5,6,5,6,5,7,7,6,5,6,7,6,6,6,7,6,6,6,6,6,7,5,5,5
Subway,1,3,2,1,1,4,1,1,1,1,1,3,2,1,3,3,1,1,2,4,5,1,1,,6,1,1,1,5,2,1,1,1,1,3,1,2,4,1,1,1
Subway,7,7,7,7,7,5,7,6,5,5,7,6,6,4,7,7,5,7,6,6,7,4,7,6,6,4,6,7,4,7,6,7,5,5,7,5,6,6,6,7,7
Subway,7,7,7,7,7,7,7,,7,7,7,4,6,4,6,6,7,4,7,7,7,7,7,7,7,5,4,,7,,,7,,,7,7,7,7,7,7,
Subway,7,7,5,7,7,7,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7
Subway,5,4,4,2,4,4,4,,4,5,6,4,4,5,4,4,,,4,5,4,3,5,4,5,5,5,4,4,3,2,4,3,2,4,4,4,4,4,3,2
Subway,5,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,5,3,5,4,5,5,4,4,4,4,4,4,3,4,4,4,4
Subway,2,3,3,2,2,2,2,1,2,2,1,2,2,3,1,2,3,2,2,2,2,1,2,2,1,3,2,2,1,3,3,2,1,2,2,2,3,3,1,2,2
Subway,6,7,7,7,6,5,7,7,7,6,7,6,5,6,6,7,6,5,7,7,7,6,6,5,7,6,7,5,6,5,7,5,5,5,5,6,5,6,5,,5
Subway,5,5,7,7,5,7,7,5,6,7,6,5,5,2,4,5,4,4,6,5,5,6,7,7,6,3,2,2,6,7,6,6,5,5,7,6,6,7,7,5,6
Subway,4,4,4,5,4,5,4,6,2,6,5,4,5,5,5,4,7,,3,5,7,2,5,3,2,7,5,,3,,,,6,,4,4,3,5,6,3,5
Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
Subway,7,7,7,7,7,7,6,7,,7,6,7,6,6,7,6,7,6,7,7,7,7,7,6,6,7,6,4,7,7,7,7,6,7,7,6,7,6,7,6,7
Subway,1,4,1,1,4,4,3,4,3,4,4,3,2,4,4,3,4,3,4,4,3,5,4,3,5,4,4,3,4,4,3,4,1,4,4,4,4,4,4,3,3
Subway,4,5,6,5,6,7,6,6,5,6,6,5,5,7,6,6,6,5,6,6,5,5,7,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5
Subway,3,4,5,2,4,4,6,4,4,3,4,4,3,2,3,3,4,2,4,5,6,5,4,4,5,3,6,4,4,7,4,4,4,3,6,4,5,6,7,3,4
Subway,7,7,7,7,7,7,7,,,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,,7,5,7,7,5,,7,5,7,7,7,7,7
Subway,6,7,7,6,5,7,6,7,6,6,5,6,7,5,7,6,6,6,6,6,6,6,7,7,6,7,5,6,5,6,5,6,6,5,5,6,6,6,5,7,6
Subway,5,5,6,6,6,7,6,6,5,5,7,5,4,5,6,4,4,4,2,6,6,4,7,7,4,4,7,7,5,5,3,4,4,5,6,6,5,6,7,4,4
Subway,6,6,6,5,6,6,6,5,5,6,5,4,5,5,5,4,5,4,5,4,6,6,6,5,6,5,4,5,6,6,5,5,5,4,5,5,5,6,6,5,5
Subway,6,5,5,4,2,4,6,4,4,6,4,,5,5,5,6,7,7,,6,6,3,6,7,7,4,3,7,4,5,3,3,,2,5,4,4,6,6,4,
Subway,6,7,5,7,6,6,6,6,5,6,5,4,6,6,,7,7,7,6,5,7,5,5,4,6,7,6,6,7,7,7,5,5,7,6,7,5,6,6,6,5
Subway,7,7,7,7,6,7,7,7,6,6,7,7,7,6,6,6,6,6,5,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,6,6
Subway,5,4,3,2,4,5,2,3,3,3,5,3,2,2,1,3,3,,3,2,5,3,5,5,4,4,3,3,4,3,3,4,3,3,3,1,3,4,4,4,3
Subway,5,5,5,4,4,5,4,5,4,5,4,4,4,4,5,4,4,4,5,4,4,4,5,5,4,4,5,4,5,5,5,4,4,4,5,5,4,4,6,4,4
Subway,4,4,2,1,2,3,5,3,3,3,6,,3,3,2,2,2,,4,4,5,5,6,7,5,,5,1,6,4,4,5,5,,5,2,3,2,6,3,4
Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,5,2,5,6,4,3,4,4,6,5,5,,5,4,4,3,5,4,3,2,3,3,5,5,3,2,4,4,3,5,5,6,5,3,5,2,3,5,5,4,4
Subway,5,5,6,6,6,7,6,4,4,6,7,4,5,3,4,4,4,3,3,5,5,4,7,7,5,5,6,7,5,4,4,5,4,5,4,4,4,4,6,3,5
Subway,4,7,7,6,6,7,6,7,7,7,5,5,6,5,6,6,6,5,7,5,5,6,5,6,5,6,7,7,7,6,6,6,5,6,6,7,7,7,6,7,7
Subway,6,6,6,5,5,6,5,,5,5,5,,6,5,5,6,4,,5,5,6,6,5,5,7,,4,,5,5,6,,,,6,6,5,6,6,,5
Subway,6,4,4,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,4,7,5,4,7,7,4,6,4,4,4,4,4,5,5,6,4,5,5,5,7,4,5
Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,4,6,7,6,6,5,6,7,6,7,6,5,5,6,5,6,6,7,7,6,6,6,7,6,4,5,5,6,6,6,5,5,5,5,6,6,7,7,5,6,4
Subway,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,7,6,7,7,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6
Subway,6,6,5,4,5,6,2,6,7,5,5,6,5,5,6,7,5,4,6,7,5,5,5,5,5,6,5,5,6,6,5,6,5,6,6,6,6,5,6,6,5
Subway,7,4,6,5,7,6,5,5,6,4,6,6,5,4,6,6,7,4,5,6,5,4,4,7,7,6,5,7,5,5,6,5,6,7,6,5,5,4,6,7,5
Subway,6,7,7,1,7,7,7,6,7,7,7,6,6,5,6,6,,5,7,6,7,4,7,7,7,2,3,,7,7,6,,7,,7,6,7,7,7,4,
Subway,7,7,7,7,4,7,7,5,7,7,7,7,5,6,5,4,4,6,7,7,6,7,7,7,7,4,5,6,7,7,7,4,7,7,7,7,7,7,7,5,7
Subway,6,7,5,7,6,6,6,6,7,7,7,5,7,6,6,6,6,6,6,6,6,7,7,7,5,7,7,6,6,7,6,6,5,6,6,6,7,5,7,7,6
Subway,5,5,7,4,4,5,6,4,5,6,6,5,4,4,3,6,4,1,5,4,7,4,6,6,3,5,7,5,5,6,4,2,6,5,6,3,4,7,7,3,3
Subway,5,5,6,6,6,6,6,6,6,6,5,4,5,6,5,5,7,5,4,4,6,5,6,7,5,5,4,6,5,4,4,4,,4,6,5,5,6,5,4,5
Subway,5,6,6,5,6,5,5,5,5,5,6,5,5,6,6,5,5,4,5,6,6,5,6,6,6,5,5,,5,5,6,6,4,4,6,6,6,6,6,4,5
Subway,5,3,6,3,4,5,4,3,3,7,6,4,6,6,5,6,3,4,4,6,6,4,6,7,5,7,5,3,7,6,3,4,5,3,4,3,6,6,7,2,5
Subway,6,7,7,6,7,7,6,6,4,7,5,6,5,4,6,5,6,4,6,7,6,7,7,7,7,7,7,6,7,6,6,5,6,5,7,6,6,6,7,7,7
Subway,5,6,5,5,5,5,6,5,4,7,5,4,7,6,6,4,5,7,5,6,5,7,6,4,6,6,5,7,5,6,4,7,5,4,4,7,5,6,6,7,5
Subway,4,5,5,4,4,4,6,4,3,5,6,4,5,4,6,6,4,,4,7,7,6,7,7,7,4,4,,7,7,4,4,4,4,5,4,4,5,5,2,4
Subway,5,6,7,6,7,3,2,1,1,1,7,2,1,1,1,1,4,1,7,4,7,1,7,7,3,1,1,2,4,1,2,1,1,5,2,4,1,2,2,1,4
Subway,3,3,4,3,3,2,3,2,3,3,3,1,1,1,1,1,1,1,4,4,5,3,2,6,3,5,2,,4,3,4,3,4,1,3,3,2,4,5,1,3
Subway,7,7,7,7,7,7,7,5,7,6,7,7,7,5,6,7,5,4,7,1,7,7,7,7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,3,4,4,3,4,3,5,3,3,4,4,3,4,4,3,4,3,,4,3,3,3,4,4,4,3,4,,4,4,3,3,4,3,5,4,3,4,5,3,3
Subway,6,5,6,5,4,5,3,4,4,4,5,,4,3,5,4,,,4,5,5,4,5,6,4,,3,,5,4,3,5,6,3,5,4,4,3,6,5,5
Subway,6,6,6,6,5,6,6,6,6,6,6,6,7,6,6,6,7,6,6,7,6,6,6,7,6,7,7,7,6,7,6,7,6,6,7,6,6,6,7,7,5
Subway,4,3,3,2,4,5,5,3,3,5,4,3,1,2,3,4,3,3,7,3,4,2,7,7,4,3,4,3,4,3,3,3,3,5,4,4,4,4,5,3,5
Subway,6,6,6,6,7,7,7,7,5,7,6,6,6,7,6,7,7,5,7,6,5,6,6,6,7,7,6,6,5,6,7,6,7,6,6,6,5,5,7,6,6
Subway,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,7,6,7,6,7,6,5,4,5,6,7,6,6,5,5,5,4,4,6,7,6,6,7,6,6,4,4,3,6,6,5,4,6,5,6,6,6,6,6,5,6
Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,6,6,6,5,6,6,5,5,6,6,5,6,5,5,6,5,6,5,5,5,5,5,6,6,5,6,5,5,6,6,6,5,5,6,5,6,5,5,5,5,5
Subway,3,4,3,1,6,4,5,3,4,5,5,5,4,2,4,3,5,2,6,7,4,5,7,7,5,2,5,3,3,6,3,5,6,3,5,4,5,5,3,5,5
Subway,5,5,7,5,7,2,,5,6,5,5,6,4,,5,7,5,6,4,6,5,5,7,6,7,6,5,4,7,7,6,4,5,6,5,6,6,4,6,7,6
Subway,5,6,6,7,7,7,6,6,6,6,5,6,6,7,6,6,7,6,7,6,5,6,6,6,7,6,6,6,7,6,6,7,6,7,6,6,6,7,6,6,7
Subway,5,5,5,5,5,5,5,,4,5,5,,4,3,5,4,4,,4,5,5,4,5,5,5,,,,5,4,,4,4,,5,4,4,5,5,4,5
Subway,6,5,5,5,6,6,6,6,6,6,6,6,5,5,6,5,5,6,6,5,5,5,5,6,6,5,6,6,7,7,5,6,5,6,5,6,5,5,5,6,5
Subway,6,6,6,6,7,6,6,6,7,6,5,7,5,6,6,6,6,6,7,6,6,6,7,6,7,7,6,,7,5,6,7,7,7,6,6,7,6,7,6,7
Subway,4,4,3,3,4,3,4,7,5,6,4,4,3,5,4,4,4,2,4,5,6,7,3,5,6,3,4,5,3,6,5,6,7,5,3,7,6,5,2,5,7
Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,5,7,7,6,5,5,7,5,5,7,3,6,4,3,3,4,5,4,5,6,7,6,7,7,6,6,5,,7,7,7,6,6,6,7,7,7,7,7,5,6
Subway,3,3,3,4,3,3,2,3,3,3,2,2,3,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,4,3,4,4,3,3
Subway,6,7,7,4,4,5,7,,5,5,7,3,5,2,3,4,1,,5,5,7,3,7,7,6,4,7,6,7,5,7,5,4,,4,4,4,3,7,4,4
Subway,4,6,5,3,3,4,6,2,1,3,3,3,1,1,1,2,3,2,1,6,4,2,7,6,5,3,4,4,5,4,3,4,1,3,5,5,3,5,6,2,3
Subway,6,7,4,5,5,5,5,4,4,5,4,4,5,4,5,5,7,4,5,5,4,5,4,5,4,5,4,4,6,5,4,3,5,5,6,7,6,6,6,5,4
Subway,6,7,6,,6,7,4,6,7,6,6,7,6,6,6,5,5,7,7,7,6,6,6,6,7,7,6,6,6,6,6,6,5,6,7,6,6,6,6,5,6
Subway,6,7,5,7,5,7,5,7,7,5,6,5,7,6,6,6,7,5,6,6,6,6,5,6,6,5,6,6,6,7,6,6,6,6,6,5,7,5,4,6,6
Subway,6,5,6,3,3,5,5,6,5,6,1,5,5,3,6,6,6,5,5,7,6,6,6,7,6,6,6,6,6,6,5,5,6,5,6,6,6,6,6,4,5
Subway,5,6,7,6,7,7,7,5,7,7,7,3,5,3,5,5,6,,5,7,7,5,6,7,6,4,6,,7,6,5,5,5,5,7,6,7,6,7,5,5
Subway,5,6,6,6,7,5,6,5,6,5,6,6,5,6,6,6,5,5,6,5,5,6,5,5,5,5,5,5,6,6,5,5,5,5,6,6,6,5,5,5,6
Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,6,6,7,6,7,7,7,6,6,6,7,7,7,7,6,6,6,6,6,6,7,6,6,6,6,,6,6,6,6,7,5,6,7,5,6,5,6,7,7,7
Subway,6,6,6,6,5,7,5,6,5,6,6,5,5,6,6,5,5,6,5,5,5,5,6,6,5,4,6,4,5,6,7,6,5,5,5,6,7,6,6,5,6
Subway,6,6,6,5,6,6,6,5,5,6,5,5,6,6,6,6,7,6,6,6,6,6,6,5,5,5,6,5,5,6,5,6,6,6,6,5,6,4,5,5,6
Subway,4,5,6,4,5,6,7,4,4,5,5,4,5,4,7,4,5,,5,7,6,5,6,7,4,3,5,,5,6,4,3,5,4,5,5,4,5,6,4,4
Subway,7,7,6,7,6,7,7,7,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,6,6,6,7,6,6,6,5,7,6,7,7,7,7,6,7,6,7
Subway,7,7,7,6,6,6,6,7,7,7,6,6,7,6,7,7,7,6,6,7,7,6,6,6,7,5,7,7,7,7,7,6,6,4,7,7,7,6,7,6,6
Subway,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,7,6,6,6,6,5,5,6,6,6,6,6,6,6,7,6
Subway,5,7,6,7,3,4,2,7,4,5,5,3,3,4,5,4,4,1,4,4,4,5,5,5,7,4,7,4,5,5,4,5,5,3,7,5,3,5,5,5,5
Subway,6,7,6,5,6,6,6,6,6,6,6,6,7,6,6,5,5,5,6,7,6,6,6,7,6,5,6,6,6,6,6,4,7,7,7,6,6,6,6,6,6
Subway,5,5,4,3,6,4,5,2,3,5,5,2,3,5,4,3,2,2,4,4,3,3,4,5,3,2,5,1,3,3,3,2,4,3,3,3,2,3,3,3,3
Subway,2,4,3,4,2,3,5,3,2,4,2,4,2,4,4,3,3,1,1,2,3,2,5,5,5,1,4,3,2,3,2,2,5,2,4,2,3,4,6,1,3
Subway,6,4,3,3,4,2,6,4,2,3,3,4,4,3,5,3,2,3,4,4,5,2,6,4,4,3,3,4,6,5,4,2,2,3,4,3,3,4,3,5,3
Subway,6,7,5,7,6,6,6,5,6,6,5,7,6,5,6,6,7,5,6,5,6,6,5,7,7,6,5,6,6,6,7,6,6,6,7,5,6,7,6,6,7
Subway,5,7,5,5,5,6,7,4,5,7,5,4,7,5,4,5,5,3,4,6,7,7,7,6,6,4,4,4,7,7,7,7,4,4,7,7,6,7,6,5,5
Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,6,6,6,6,5,6,6,,3,6,6,,5,4,5,6,,,4,6,6,3,6,6,6,,6,,5,5,5,5,5,6,4,5,4,5,6,4,5
Subway,6,7,7,6,6,7,6,7,5,6,7,6,,7,7,6,6,6,6,6,7,7,6,7,6,6,6,7,5,6,6,6,6,7,6,6,5,7,6,7,6
Subway,7,6,5,6,6,6,7,5,6,6,6,6,5,5,5,6,6,5,6,5,6,6,7,7,7,6,6,7,6,6,6,5,5,6,6,6,6,6,6,6,6
Subway,5,5,6,7,6,6,4,6,6,7,7,7,7,6,7,7,5,5,5,7,5,6,4,7,5,5,7,3,6,6,5,6,4,5,6,5,5,6,7,6,6
Subway,5,7,6,5,6,6,5,6,7,6,7,7,7,7,7,5,6,6,6,6,7,6,6,6,6,6,6,7,6,7,6,6,5,4,5,7,6,6,6,7,6
Subway,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,5,6,5,5,4,7,,4,4,5,5,5,6,3,6,6,4,5,5,6,7,5,6,5,6,4,5,6,6,5,6,4,6,4,5,6,,5,5,5,6
Subway,6,7,7,7,7,7,7,,,7,7,5,7,4,6,6,3,5,7,6,7,5,7,7,6,6,7,6,6,6,5,7,5,4,7,7,7,7,7,6,
Subway,6,4,6,4,6,4,5,5,5,6,4,4,7,4,6,5,7,4,6,5,5,4,4,5,5,4,5,4,7,6,5,5,5,3,6,5,6,4,6,5,6
Subway,7,6,7,7,6,7,7,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,6,7,7
Subway,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,4,5,5,5,6,4,5,,4,6,3,,2,2,3,3,2,,5,4,3,4,7,6,3,,4,,6,,4,5,4,3,5,5,5,6,3,4,4
Subway,5,5,5,4,5,6,5,6,4,6,6,,4,3,6,5,4,,5,6,4,,7,6,6,,3,1,6,4,4,4,4,3,6,5,5,5,7,,
Subway,4,5,4,4,4,3,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,5,4,4,3,6,4,4,5,4,5,5,4,4,4,5,4,5,5,4
Subway,4,4,4,4,4,4,7,3,3,4,4,,3,4,3,4,3,4,4,3,3,3,5,7,3,5,6,7,5,4,3,7,5,3,4,3,4,4,7,3,4
Subway,7,5,6,6,6,6,5,6,7,6,7,5,6,5,6,6,6,6,4,7,6,4,6,4,5,4,6,6,5,6,6,5,5,6,6,6,6,6,3,5,6
Subway,5,6,6,5,5,6,5,5,6,6,6,5,6,4,5,5,6,4,4,5,6,4,6,6,5,4,5,,6,6,5,6,5,4,6,6,6,5,6,4,5
Subway,7,7,6,7,7,7,7,6,6,7,7,6,6,6,6,6,5,5,6,7,6,6,7,7,6,6,6,6,7,6,6,6,6,5,7,7,7,7,,6,6
Subway,7,7,7,7,6,7,5,7,7,7,5,5,6,4,6,6,7,,7,7,7,7,7,7,6,6,5,,6,7,6,7,6,,7,7,6,6,7,6,7
Subway,4,5,5,4,5,5,5,5,4,6,6,,4,3,5,5,5,,5,4,5,5,5,5,5,,4,,5,4,4,4,4,4,5,5,4,4,5,4,
Subway,4,7,7,7,6,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,6,7,6,6,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,,4,4,5,4,4,5,5,4,4,,4,4,4,4,,4,5,5,5,5,5,4,4
Subway,5,6,7,6,7,6,6,6,6,6,6,6,7,7,5,6,6,6,6,6,6,6,7,6,7,7,6,7,6,6,6,6,7,6,5,7,6,6,7,6,7
Subway,5,5,5,5,5,2,3,4,3,4,5,4,4,5,5,5,6,,4,4,5,5,5,5,5,2,6,5,4,4,5,3,4,4,5,4,4,5,5,4,4
Subway,2,4,3,3,5,5,5,6,4,5,5,,4,4,4,4,5,,2,5,4,2,7,6,,,4,,,4,3,5,3,4,2,3,3,3,7,2,4
Subway,6,6,6,6,6,6,6,6,,6,6,,6,5,6,6,6,6,,6,6,6,6,6,6,,6,6,6,6,,,6,5,6,6,6,6,6,5,6
Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,4,6,5,5,6,6,5,5,5,6,6,5,6,6,6,5,6,6,5,6,5,6,5,5,6,5,5,5,5,5,6,5,6,5,6,6,6,5,6,6,6
Subway,5,7,6,4,6,7,7,7,6,5,6,7,7,7,6,7,6,6,6,6,6,6,5,6,5,6,7,7,6,6,5,6,6,6,6,5,6,6,6,7,7
Subway,7,7,7,7,7,7,5,4,7,7,7,,7,3,3,7,4,3,5,7,6,5,7,7,7,2,4,1,5,4,5,2,7,4,7,6,7,7,4,5,5
Subway,5,5,6,5,5,5,6,6,5,5,5,5,6,5,5,5,5,5,5,6,6,6,6,6,6,5,6,6,5,5,5,5,4,5,6,5,5,6,6,5,5
Subway,7,6,7,5,7,7,7,,6,7,6,,6,7,6,6,6,5,6,7,7,6,7,7,7,7,7,,7,7,6,7,5,5,7,7,6,7,7,5,6
Subway,7,7,7,7,6,6,7,6,7,6,7,7,7,7,7,7,7,6,6,6,7,7,6,6,7,6,7,7,7,7,6,6,6,7,6,7,7,7,7,7,7
Subway,5,4,4,4,7,7,5,4,4,6,5,2,4,6,5,5,4,5,5,3,5,5,3,3,7,5,3,,7,4,5,2,7,3,4,6,4,3,5,6,2
Subway,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Subway,6,6,7,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,7,6,6,4,6,6,6,6,6,6,6,6,6,6,6,7,6,6
Subway,5,5,5,7,4,4,6,4,6,6,5,6,5,5,5,6,5,,4,5,5,5,6,7,5,5,5,5,6,6,5,4,4,5,4,6,6,5,6,5,5
Subway,6,6,6,6,6,6,6,7,6,6,6,5,7,6,7,6,7,6,6,6,6,6,6,6,6,7,7,7,6,7,5,6,7,6,7,6,7,6,5,6,6
Subway,6,6,6,6,6,5,5,6,5,6,6,5,6,6,5,7,5,5,4,6,6,5,5,5,5,5,6,7,5,4,5,5,6,5,6,6,6,7,6,5,6
Subway,3,5,5,3,4,3,5,4,3,3,4,3,4,5,4,4,3,2,4,5,4,5,5,5,5,4,5,5,4,4,4,4,3,3,4,4,3,4,5,3,2
Subway,5,4,6,3,2,4,6,5,5,5,4,7,2,4,5,6,3,3,6,5,6,4,7,5,4,6,6,3,6,6,6,3,6,6,6,3,3,5,5,4,6
Subway,7,7,7,7,7,7,7,7,3,7,7,1,1,1,1,1,4,3,1,7,7,1,7,7,7,,7,7,4,3,4,,,,4,4,5,,5,1,
Subway,5,6,6,6,6,6,6,4,5,6,5,5,5,4,5,5,5,4,4,6,5,4,5,5,5,6,5,6,5,5,4,4,6,5,5,6,5,5,6,4,3
Subway,7,7,7,5,7,7,7,,7,7,6,6,6,7,7,7,7,7,3,7,7,6,7,7,7,7,7,7,5,2,7,3,,3,7,6,7,7,7,7,7
Subway,3,3,3,2,4,4,4,3,4,4,4,4,3,4,3,3,4,,4,4,4,4,4,4,4,3,4,,4,4,3,3,3,3,4,4,,4,5,3,3
Subway,5,4,5,5,7,6,6,6,5,5,6,5,5,6,5,6,6,,5,6,7,5,7,6,6,5,6,4,4,4,4,4,4,4,5,4,5,6,7,5,4
Subway,5,5,6,5,6,5,5,4,4,6,5,4,5,6,4,6,5,5,5,5,6,5,6,6,5,5,7,6,5,5,6,5,5,6,6,6,5,5,5,5,5
Subway,6,5,6,6,6,6,5,5,5,5,7,7,6,6,6,7,7,7,5,6,5,6,5,7,7,5,5,5,7,5,7,6,6,7,7,5,6,7,7,5,7
Subway,5,7,6,6,5,4,5,7,6,7,7,7,5,7,7,5,5,6,6,7,5,7,6,7,6,6,7,5,6,7,6,6,6,6,7,5,5,7,5,5,6
